id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,ci_result,closure_time,comment_time,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,review_comments,effective_comments
4436,merged,0,1,0,1,0,2,2,0,510699.349,0,0,0,1,0,6,6,0,0,4702.629,2,3,0,0,0,0,0,0,0
4434,merged,0,3,0,3,0,3,3,0,81813.217,0,0,0,3,0,9,9,0,0,83039.168,2,4,4,0,0,0,0,0,0
4433,merged,0,2,0,2,527.383,2,1,1,945.364,1,0,0,2,0,6,6,0,0,1130.782,2,2,2,0,0,0,0,0,0
4432,merged,0,4,0,4,0,2,2,0,10055.864,0,0,0,2,0,6,6,0,0,10501.743,2,7,6,0,0,0,0,0,0
4430,merged,0,3,0,3,504.421,3,2,1,11171.222,1,0,0,3,0,9,9,0,0,11308.045,2,5,0,0,0,0,0,0,0
4429,merged,0,4,0,4,0,9,9,0,85312.808,0,0,12216.347,10,12216.347,27,27,0,0,85525.941,2,1285,1322,0,0,1,1,0,0
4406,merged,102,147,1,44,246.344,3,2,1,-127.246,1,0,0,4,0,9,9,0,0,132.226,1,5317,5819,0,0,0,0,0,0
4380,closed,0,1,0,1,523931.663,5,2,3,130.924,1,4138825.155,0,5,0,15,15,0,0,0,2,695,334,0,0,0,0,0,0
4379,merged,0,3,0,3,602662.72,10,2,8,1405.244,1,0,0,10,0,30,30,0,0,1513.831,2,450,60,0,0,0,0,0,0
4374,merged,0,5,0,5,76801.106,3,1,2,231.399,1,0,0,3,0,9,9,0,0,573.461,2,96,85,0,0,0,0,0,0
4365,merged,0,7,0,7,0,1,1,0,-588.903,0,0,0,17,0,3,3,0,0,98.522,2,24,22,0,0,0,0,0,0
4361,merged,0,1,0,1,515923.81399999995,13,4,9,53.736,1,0,0,13,0,39,30,3,0,170.326,2,10,12,0,0,0,0,0,0
4359,closed,0,12,0,12,1117442.233,16,6,10,695551.364,1,4831051.518,0,17,0,48,48,0,0,0,2,236,184,0,0,0,0,0,0
4358,merged,0,4,0,4,440816.06200000003,8,6,2,1971.939,1,0,0,15,0,24,24,0,0,2953.723,2,18,19,0,0,0,0,0,0
4357,merged,0,9,0,9,515523.393,10,3,7,6810.634,1,0,0,10,0,30,21,3,0,6952.36,2,82,39,0,0,0,0,0,0
4356,merged,0,30,1,29,439073.493,5,4,1,-58.147,1,0,0,12,0,15,15,0,0,731.873,2,334,352,0,0,0,0,0,0
4350,merged,1,15,0,14,1287689.257,9,1,8,-133.508,1,0,0,11,0,27,24,1,0,1162.607,2,659,366,0,0,0,0,0,0
4341,merged,0,1,0,1,0,13,13,0,450.677,0,0,0,13,0,39,39,0,0,545.048,2,1,2,0,0,0,0,0,0
4340,merged,0,2,0,2,0,3,3,0,76293.393,0,0,0,3,0,9,9,0,0,76837.295,2,5,23,0,0,0,0,0,0
